sample	chromosome	analogue	n_reads	n_positive_reads	total_labelled_bp	mean_bp	sd_bp	minimum_bp	q1_bp	q2_median_bp	q3_bp	q4_maximum_bp
UWB_Cisp1	chr21	BrdU	7	7	27543	3934.71	2363.36	1065	1825	4805	5427.5	7168
UWB_Cisp1	chr21	EdU+BrdU	7	7	45968	6566.86	2529.43	2290	5472.5	6202	8287.5	9956
UWB_Cisp1	chr22	EdU	4	4	12336	3084	1715.77	1671	1743.75	2693	4033.25	5279
UWB_Cisp1	chr22	BrdU	4	4	21243	5310.75	3020.24	3380	3532.25	4040.5	5819	9782
UWB_Cisp1	chr22	EdU+BrdU	4	4	33579	8394.75	2856.1	5051	6663.5	8489	10220.25	11550
UWB_Cisp1	chr3	EdU	43	43	105696	2458.05	1246.17	1000	1441	2278	3170.5	6543
UWB_Cisp1	chr3	BrdU	43	43	195504	4546.6	3591.12	1027	1880.5	3231	6292	18026
UWB_Cisp1	chr3	EdU+BrdU	43	43	301200	7004.65	3803.9	2042	4693	6153	8982.5	20813
UWB_Cisp1	chr4	EdU	32	32	63477	1983.66	1019.45	1000	1231.75	1633.5	2434	5068
UWB_Cisp1	chr4	BrdU	32	32	127663	3989.47	2877.48	1014	1970.75	3286.5	4971.5	12092
UWB_Cisp1	chr4	EdU+BrdU	32	32	191140	5973.12	2930.55	2139	3586.25	5622.5	6864.25	13720
UWB_Cisp1	chr5	EdU	19	19	40810	2147.89	978.3	1017	1492.5	1898	2588	4408
UWB_Cisp1	chr5	BrdU	19	19	85215	4485	2718.53	1111	2758.5	4350	5111	11686
UWB_Cisp1	chr5	EdU+BrdU	19	19	126025	6632.89	3153.03	2588	4833.5	5493	8270	14642
UWB_Cisp1	chr6	EdU	17	17	30912	1818.35	659.72	1120	1312	1614	2245	3514
UWB_Cisp1	chr6	BrdU	17	17	92502	5441.29	2459.6	1234	4036	5221	6212	10223
UWB_Cisp1	chr6	EdU+BrdU	17	17	123414	7259.65	2500.36	2366	6329	7407	7989	11425
UWB_Cisp1	chr7	EdU	19	19	47544	2502.32	1535.99	1037	1390.5	1847	3098.5	5885
UWB_Cisp1	chr7	BrdU	19	19	90970	4787.89	3439.56	1146	2717.5	3781	5909.5	12886
UWB_Cisp1	chr7	EdU+BrdU	19	19	138514	7290.21	3559.26	2269	5223.5	6906	9667.5	14513
UWB_Cisp1	chr8	EdU	18	18	36366	2020.33	1022.75	1015	1329.5	1772.5	2147.25	4473
UWB_Cisp1	chr8	BrdU	18	18	85785	4765.83	2602.61	1410	2820.25	4083	7235.75	8828
UWB_Cisp1	chr8	EdU+BrdU	18	18	122151	6786.17	2780.34	2690	4058.25	7054.5	9402.5	10436
UWB_Cisp1	chr9	EdU	14	14	26305	1878.93	877.09	1002	1142.25	1606.5	2377	3799
UWB_Cisp1	chr9	BrdU	14	14	65113	4650.93	3255.99	1153	2286	3177.5	7033.5	11149
UWB_Cisp1	chr9	EdU+BrdU	14	14	91418	6529.86	3139.79	3241	4091	5404	8728	13292
UWB_Cisp1	chrX	EdU	12	12	24150	2012.5	1288.71	1002	1178.25	1425.5	2551	4881
UWB_Cisp1	chrX	BrdU	12	12	66063	5505.25	3306.82	1809	2894	4515	7830.5	11895
UWB_Cisp1	chrX	EdU+BrdU	12	12	90213	7517.75	3654.37	3001	4933.5	6939.5	10445	14590
UWB_Cisp1	chrY	EdU	1	1	2606	2606	NA	2606	2606	2606	2606	2606
UWB_Cisp1	chrY	BrdU	1	1	1641	1641	NA	1641	1641	1641	1641	1641
UWB_Cisp1	chrY	EdU+BrdU	1	1	4247	4247	NA	4247	4247	4247	4247	4247
